time,theta,omega,energy
3.220000000000000195e+00,-5.022778960862643860e-01,7.833986796646638107e-01,-8.291492540229063124e+00
3.229999999999999982e+00,-4.942077711438321308e-01,8.306263088217791246e-01,-8.291212136061488991e+00
3.240000000000000213e+00,-4.856688470492540599e-01,8.771585100938280588e-01,-8.290896809181285576e+00
3.250000000000000000e+00,-4.766682965643290193e-01,9.229515868911748466e-01,-8.290544850270853416e+00
3.260000000000000231e+00,-4.672137287918268211e-01,9.679619676092658942e-01,-8.290154641795753676e+00
3.270000000000000018e+00,-4.573131877295427139e-01,1.012146244847554888e+00,-8.289724667084103160e+00
3.280000000000000249e+00,-4.469751504101038275e-01,1.055461219040216836e+00,-8.289253519660702452e+00
3.290000000000000036e+00,-4.362085245824428026e-01,1.097863946491989262e+00,-8.288739912760656026e+00
3.300000000000000266e+00,-4.250226458911210980e-01,1.139311791772352311e+00,-8.288182688936919007e+00
3.310000000000000053e+00,-4.134272745103594882e-01,1.179762484379966114e+00,-8.287580829666776339e+00
3.320000000000000284e+00,-4.014325911907239974e-01,1.219174179547131587e+00,-8.286933464853492026e+00
3.330000000000000071e+00,-3.890491926779315324e-01,1.257505523011352766e+00,-8.286239882111809507e+00
3.339999999999999858e+00,-3.762880864651836355e-01,1.294715719538225729e+00,-8.285499535719640818e+00
3.350000000000000089e+00,-3.631606848428062251e-01,1.330764604937252571e+00,-8.284712055113368834e+00
3.359999999999999876e+00,-3.496787982117688931e-01,1.365612721270219598e+00,-8.283877252800946778e+00
3.370000000000000107e+00,-3.358546276308631562e-01,1.399221394910920679e+00,-8.282995131565506597e+00
3.379999999999999893e+00,-3.217007565709297801e-01,1.431552817075748330e+00,-8.282065890832672750e+00
3.390000000000000124e+00,-3.072301418535136608e-01,1.462570126407478854e+00,-8.281089932077311033e+00
3.399999999999999911e+00,-2.924561037556764331e-01,1.492237493159960904e+00,-8.280067863150078367e+00
3.410000000000000142e+00,-2.773923152673773429e-01,1.520520204499860473e+00,-8.279000501410997970e+00
