source,target,distance_m,weight
27,295,240425.25368223418,240.42525368223417
27,301,488588.0192128197,488.5880192128197
28,357,498360.51810124225,498.36051810124223
29,472,195807.40593919205,195.80740593919205
29,610,255756.18255992132,255.7561825599213
29,701,192580.9396738775,192.5809396738775
30,573,447591.2828979336,447.59128289793364
32,83,427977.786247866,427.977786247866
34,445,402866.02146868233,402.86602146868233
34,789,394922.44899868505,394.92244899868507
35,503,461474.15322676,461.47415322676
35,737,376862.6154843831,376.86261548438307
37,222,257104.04523026219,257.10404523026216
37,299,484635.6503564463,484.63565035644626
38,543,470585.5747487508,470.5855747487508
40,179,391171.3863635887,391.1713863635887
40,587,475165.47357052524,475.16547357052525
40,694,221716.61980399798,221.716619803998
41,275,217253.6062065812,217.2536062065812
41,582,339500.2860673459,339.5002860673459
41,699,418032.35251764907,418.0323525176491
42,100,206061.29799457898,206.06129799457898
45,543,348903.9209100243,348.90392091002434
46,102,401027.2153327459,401.0272153327459
46,143,441316.3216477058,441.3163216477058
46,253,178488.66860753635,178.48866860753634
46,404,426894.89953081973,426.8948995308197
47,96,279018.6269099559,279.0186269099559
48,210,237706.6146643327,237.7066146643327
48,425,186532.9517913098,186.5329517913098
49,175,425433.30133564817,425.4333013356482
51,70,313640.99751825875,313.64099751825876
51,571,346264.12402617495,346.26412402617495
52,256,211121.57369406754,211.12157369406754
52,358,130202.63294099086,130.20263294099087
53,191,92421.50318288569,92.42150318288569
53,197,99269.08819122748,99.26908819122748
54,803,484935.1253957869,484.9351253957869
55,806,360202.3384868395,360.2023384868395
55,807,95301.07087379754,95.30107087379754
56,339,355413.89243743033,355.4138924374303
56,372,284233.662248193,284.233662248193
56,409,135306.65217367184,135.30665217367184
56,449,466084.2930613584,466.0842930613584
58,300,339076.5362728985,339.07653627289847
58,818,450454.36715678667,450.45436715678665
59,122,299843.3579837375,299.84335798373746
61,64,353602.0935848738,353.6020935848738
62,186,463138.0691847614,463.1380691847614
62,314,274485.44027975533,274.4854402797553
64,110,300261.85528564715,300.26185528564713
64,696,388151.1832296592,388.15118322965924
65,552,389361.727932123,389.361727932123
65,781,207185.43980616602,207.18543980616602
72,821,188093.0769810827,188.0930769810827
74,278,226429.111880505,226.429111880505
74,438,430001.40115239966,430.00140115239964
75,304,201274.76640773573,201.27476640773574
75,509,385829.5910721249,385.8295910721249
76,549,282336.0466229331,282.3360466229331
77,369,169734.25382400645,169.73425382400646
77,497,382762.2962463972,382.76229624639717
77,586,427265.20072195155,427.26520072195154
77,672,441091.28578591044,441.09128578591043
79,181,395309.04622684896,395.309046226849
